scenario,controller,repeat,status,route_completed,collision_proxy,static_collision,min_gt_distance,travel_time,observed_duration,path_length,stop_count,stop_duration,max_lateral_displacement,passing_side,side_switches,sustained_moving_pass_s,return_to_route,route_reference_heading_rad,interaction_start_s,interaction_end_s,passing_clearance_m,overtaking_duration_s,active_passing_success,yielding_success,overtaking_success,functional_pass,scenario_pass,behavior_label,integrated_social_cost,min_social_norm,personal_space_violation_s,social_lt_1_5_s,direction_switches,omega_variation,yolo_responses_s,rtf,resume,first_detection_time,first_detection_response_time,first_reaction_time,first_non_cruise_time,detection_to_reaction_latency,first_visible_time,visibility_review_complete,source_run
crossing,social_nav,23,VALID,True,True,False,0.054636683626415994,30.800001606345177,30.800001606345177,8.70291666666667,0,0.0,0.0,NONE,0,0.0,True,0.0,8.750000456348062,20.766667749732733,-0.8481429143484676,,,False,,False,False,FAIL,3.157828214145345,0.06991252597078623,2.600000135600567,3.9000002034008503,0,0.0,6.445989617524766,0.6648694040303955,True,0.06666663885116575,0.2166666779667139,,28.21666813828051,,,False,D:\detection\robot_human_isaac6\outputs\classic_single_pedestrian\benchmark\crossing\social_nav\seed_23\run_01
crossing,social_nav,31,VALID,True,True,False,0.054636683626415994,30.800001606345177,30.800001606345177,8.70291666666667,0,0.0,0.0,NONE,0,0.0,True,0.0,8.750000456348062,20.766667749732733,-0.8481429143484676,,,False,,False,False,FAIL,3.157828214145345,0.06991252597078623,2.600000135600567,3.9000002034008503,0,0.0,6.2500062748076655,0.6507943381120169,True,0.06666663885116575,0.2166666779667139,,28.21666813828051,,,False,D:\detection\robot_human_isaac6\outputs\classic_single_pedestrian\benchmark\crossing\social_nav\seed_31\run_01
headon,baseline,17,VALID,True,True,False,0.06372655403060619,33.23333506658673,33.23333506658673,8.709416666666662,1,2.8000001460313797,0.04671220375664353,NONE,0,0.0,True,0.0,4.583333572372794,15.683334151282907,-0.8390530439442774,,False,,,False,False,FAIL,3.541980463657393,0.07959584955515842,2.7666668109595776,3.9833335410803556,1,1.2841047158453132,4.925011503675436,0.5164422054449688,True,0.06666663885116575,0.2166666779667139,4.4333335645496845,4.4333335645496845,4.366666925698519,,False,D:\detection\robot_human_isaac6\outputs\classic_single_pedestrian\benchmark\headon\baseline\seed_17\run_01
headon,baseline,23,VALID,True,True,False,0.06340638681753108,33.133335061371326,33.133335061371326,8.711416666666645,1,2.7000001408159733,0.04671139164507394,NONE,0,0.0,True,0.0,4.566666904836893,15.5833341460675,-0.8393732111573524,,False,,,False,False,FAIL,3.495762521510099,0.07924729411306088,2.7333334758877754,3.9833335410803556,1,1.2841053886607396,4.666460027788188,0.4807868158167984,True,0.16666663885116573,0.3166666831821203,4.450000232085586,4.450000232085586,4.28333359323442,,False,D:\detection\robot_human_isaac6\outputs\classic_single_pedestrian\benchmark\headon\baseline\seed_23\run_01
headon,baseline,31,VALID,True,True,False,0.06340638681753108,33.133335061371326,33.133335061371326,8.711416666666645,1,2.7000001408159733,0.04671139164507394,NONE,0,0.0,True,0.0,4.566666904836893,15.5833341460675,-0.8393732111573524,,False,,,False,False,FAIL,3.495762521510099,0.07924729411306088,2.7333334758877754,3.9833335410803556,1,1.2841053886607396,4.851815116826015,0.5088371542130108,True,0.06666663885116575,0.2166666779667139,4.450000232085586,4.450000232085586,4.38333359323442,,False,D:\detection\robot_human_isaac6\outputs\classic_single_pedestrian\benchmark\headon\baseline\seed_31\run_01
headon,social_nav,17,VALID,True,True,False,0.11395024245821757,37.650001963600516,37.650001963600516,8.70219444444445,1,6.150000320747495,0.0,NONE,0,0.0,True,0.0,4.816666917875409,18.633334305137396,-0.788829355516666,,False,,,False,False,FAIL,4.91947174028069,0.14241975853369138,3.850000200793147,6.116666985675693,0,0.0,5.103749976400774,0.5325360450483668,True,0.06666663885116575,0.2166666779667139,3.616666855290532,3.616666855290532,3.5500002164393663,,False,D:\detection\robot_human_isaac6\outputs\classic_single_pedestrian\benchmark\headon\social_nav\seed_17\run_01
headon,social_nav,23,VALID,True,True,False,0.11578351600211602,37.60000196099281,37.60000196099281,8.702194444444448,1,6.250000325962901,0.0,NONE,0,0.0,True,0.0,4.783333582803607,18.666667640209198,-0.7869960819727675,,False,,,False,False,FAIL,4.959181988696708,0.1447407239985705,3.9000002034008503,6.200000323355198,0,0.0,5.364993556055391,0.5605639997364638,True,0.06666663885116575,0.2166666779667139,3.7166668605059385,3.7166668605059385,3.6500002216547727,,False,D:\detection\robot_human_isaac6\outputs\classic_single_pedestrian\benchmark\headon\social_nav\seed_23\run_01
headon,social_nav,31,VALID,True,True,False,0.11578351600211602,37.50000195577741,37.50000195577741,8.702194444444448,1,6.150000320747495,0.0,NONE,0,0.0,True,0.0,4.783333582803607,18.583334302529693,-0.7869960819727675,,False,,,False,False,FAIL,4.888138809102744,0.1447407239985705,3.800000198185444,6.08333365060389,0,0.0,5.016678982122008,0.5298364441941368,True,0.16666663885116573,0.3166666831821203,3.7166668605059385,3.7166668605059385,3.5500002216547726,,False,D:\detection\robot_human_isaac6\outputs\classic_single_pedestrian\benchmark\headon\social_nav\seed_31\run_01
overtaking,baseline,17,VALID,False,False,False,1.5014440063677779,,70.00000365078449,8.893222222221821,1,18.650000972673297,0.44883865126490774,RIGHT,0,0.0,False,0.0,0.01666666753590107,70.00000365078449,,,,,False,False,False,FAIL,3.3333049306430516,1.4881660806487922,0.0,0.08333333767950535,7,7.160000000000002,7.342343485503513,0.7492187620853639,True,0.06666663885116575,0.2166666779667139,0.23333334550261497,0.23333334550261497,0.16666670665144923,,False,D:\detection\robot_human_isaac6\outputs\classic_single_pedestrian\benchmark\overtaking\baseline\seed_17\run_01
overtaking,baseline,23,VALID,False,False,False,1.4931359848974732,,70.00000365078449,8.913027777777373,1,18.650000972673297,0.46088854690256015,RIGHT,0,0.0,False,0.0,0.01666666753590107,70.00000365078449,,,,,False,False,False,FAIL,3.372046265136989,1.4881660806487922,0.0,0.08333333767950535,7,7.040000000000003,7.4985097393072735,0.7629298097775468,True,0.06666663885116575,0.2166666779667139,0.23333334550261497,0.23333334550261497,0.16666670665144923,,False,D:\detection\robot_human_isaac6\outputs\classic_single_pedestrian\benchmark\overtaking\baseline\seed_23\run_01
